Date,Exercise,Weight (kg),Reps,Volume,Lift Category,Accessory Category
2024-10-31,Lat Pulldown,54.4,12,652.8,,Back
2025-01-01,Deadlift (Barbell),206.4,1,206.4,Deadlift,
2025-01-01,Deadlift (Barbell),183.7,1,183.7,Deadlift,
2025-01-01,Deadlift (Barbell),142.9,1,142.9,Deadlift,
2025-01-01,Deadlift (Barbell),102.1,1,102.1,Deadlift,
2025-01-01,Deadlift (Barbell),61.2,1,61.2,Deadlift,
2025-01-01,Deadlift (Barbell),61.2,1,61.2,Deadlift,
2025-01-14,Deadlift (Barbell),85.4,2,170.8,Deadlift,
2025-01-14,Deadlift (Barbell),85.4,2,170.8,Deadlift,
2025-01-14,Deadlift (Barbell),85.4,1,85.4,Deadlift,
2025-01-14,Pendlay Row,70.3,10,703,,Back
2025-01-14,Bench Press (Paused),40.8,3,122.4,,Other
2025-01-14,Bench Press (Paused),70.3,3,210.9,,Other
2025-01-14,Bench Press (Paused),70.3,3,210.9,,Other
2025-01-14,Bench Press (Paused),45.4,1,45.4,,Other
2025-01-14,Pendlay Row,70.3,10,703,,Back
2025-01-16,Squat (Barbell),70,3,210,Squat,
2025-01-16,Squat (Barbell),70,3,210,Squat,
2025-01-16,Squat (Barbell),70,3,210,Squat,
2025-01-16,Squat (Barbell),165,1,165,Squat,
2025-01-16,Squat (Barbell),120,3,360,Squat,
2025-01-16,Squat (Barbell),150,1,150,Squat,
2025-01-16,Bench Press (Barbell),70,1,70,Bench,
2025-01-16,Bench Press (Barbell),70,1,70,Bench,
2025-01-16,Bench Press (Barbell),100,1,100,Bench,
2025-01-16,Bench Press (Barbell),105,1,105,Bench,
2025-01-16,Bench Press (Barbell),70,1,70,Bench,
2025-01-20,Bench Press (Paused),79.8,5,399,,Other
2025-01-20,Bench Press (Paused),79.8,5,399,,Other
2025-01-20,Romanian Deadlift (Barbell),99.8,6,598.8,,Leg Accessory
2025-01-20,Romanian Deadlift (Barbell),99.8,6,598.8,,Leg Accessory
2025-01-20,Squat (Low Bar),143,3,429,Squat,
2025-01-20,Squat (Low Bar),143,3,429,Squat,
2025-01-20,Lying Leg Curl,59,5,295,,Leg Accessory
2025-01-20,Lying Leg Curl,59,5,295,,Leg Accessory
2025-01-20,Chest Supported Row (Machine),160,10,1600,,Back
2025-01-20,Chest Supported Row (Machine),160,10,1600,,Back
2025-01-21,Tempo Bench Press,85,33,2805,,Other
2025-01-21,Tempo Bench Press,85,3,255,,Other
2025-01-21,Tempo Bench Press,90,3,270,,Other
2025-01-21,Pendlay Row,36.3,5,181.5,,Back
2025-01-21,Pendlay Row,36.3,5,181.5,,Back
2025-01-21,Pendlay Row,36.3,5,181.5,,Back
2025-01-21,Deadlift (Barbell),170,3,510,Deadlift,
2025-01-21,Lat Pulldown,61.2,8,489.6,,Back
2025-01-21,Lat Pulldown,61.2,8,489.6,,Back
2025-01-21,Incline Curl (Dumbbell),20,8,160,,Chest Accessory
2025-01-21,Incline Curl (Dumbbell),20,8,160,,Chest Accessory
2025-01-21,Deadlift (Barbell),170,3,510,Deadlift,
2025-01-22,Straight Arm Pulldown,100,10,1000,,Back
2025-01-22,Straight Arm Pulldown,100,10,1000,,Back
2025-01-22,Straight Arm Pulldown,100,10,1000,,Back
2025-01-22,Rear Delt Fly (Cable),30,8,240,,Back
2025-01-22,Rear Delt Fly (Cable),30,8,240,,Back
2025-01-22,Rear Delt Fly (Cable),30,8,240,,Back
2025-01-22,Chest Supported Row (Machine),150,8,1200,,Back
2025-01-22,Chest Supported Row (Machine),150,8,1200,,Back
2025-01-22,Preacher Curl (Barbell),50,12,600,,Other
2025-01-22,Overhead Press (Barbell),43.1,3,129.3,,Shoulder
2025-01-22,Overhead Press (Barbell),43.1,3,129.3,,Shoulder
2025-01-22,Overhead Press (Barbell),45.4,3,136.2,,Shoulder
2025-01-22,Lateral Raise (Cable),20,8,160,,Back
2025-01-22,Lateral Raise (Cable),20,8,160,,Back
2025-01-22,Preacher Curl (Barbell),50,12,600,,Other
2025-01-23,Squat (Paused),124.7,2,249.4,,Other
2025-01-23,Squat (Paused),124.7,2,249.4,,Other
2025-01-23,Romanian Deadlift (Barbell),124.7,5,623.5,,Leg Accessory
2025-01-23,Romanian Deadlift (Barbell),124.7,5,623.5,,Leg Accessory
2025-01-23,Single Leg Press,90,10,900,,Leg Accessory
2025-01-23,Single Leg Press,90,10,900,,Leg Accessory
2025-01-23,Leg Extension,61.2,8,489.6,,Leg Accessory
2025-01-23,Lying Leg Curl,54.4,8,435.2,,Leg Accessory
2025-01-23,Leg Extension,61.2,8,489.6,,Leg Accessory
2025-01-23,Leg Extension,61.2,8,489.6,,Leg Accessory
2025-01-23,Lying Leg Curl,54.4,8,435.2,,Leg Accessory
2025-02-06,Rear Delt Fly (Cable),30,8,240,,Back
2025-02-06,Bench Press (Barbell),70,1,70,Bench,
2025-02-06,Bench Press (Barbell),90,1,90,Bench,
2025-02-06,Shoulder Press (Machine),49.9,10,499,,Back
2025-02-06,Shoulder Press (Machine),40.8,8,326.4,,Back
2025-02-06,Seated Row (Cable),120,10,1200,,Back
2025-02-06,Rear Delt Fly (Cable),30,10,300,,Back
2025-02-06,Seated Row (Cable),140,8,1120,,Back
2025-02-06,Preacher Curl (Barbell),50,12,600,,Other
2025-02-06,Preacher Curl (Barbell),60,12,720,,Other
2025-02-06,Shoulder Press (Machine),45.4,10,454,,Back
2025-02-06,Shoulder Press (Machine),49.9,10,499,,Back
2025-02-06,Straight Arm Pulldown,100,10,1000,,Back
2025-02-06,Straight Arm Pulldown,100,10,1000,,Back
2025-02-06,Chest Supported Row (Machine),180,8,1440,,Back
2025-02-06,Chest Supported Row (Machine),150,8,1200,,Back
2025-02-10,Leg Extension,61.2,8,489.6,,Leg Accessory
2025-02-10,Seated Row (Cable),140,8,1120,,Back
2025-02-10,Seated Row (Cable),140,8,1120,,Back
2025-02-10,Leg Extension,61.2,8,489.6,,Leg Accessory
2025-02-10,Leg Curl,47.6,12,571.2,,Leg Accessory
2025-02-10,Squat (Barbell),70,3,210,Squat,
2025-02-10,Squat (Barbell),100,3,300,Squat,
2025-02-10,Romanian Deadlift (Barbell),124.74,5,623.7,,Leg Accessory
2025-02-10,Romanian Deadlift (Barbell),100,8,800,,Leg Accessory
2025-02-10,Leg Curl,47.6,12,571.2,,Leg Accessory
2025-02-12,Lat Pulldown,61.2,8,489.6,,Back
2025-02-12,Lat Pulldown,61.2,8,489.6,,Back
2025-02-12,Bench Press (Paused),79.8,5,399,,Other
2025-02-12,Bench Press (Paused),89.8,5,449,,Other
2025-02-12,Pendlay Row,36.3,5,181.5,,Back
2025-02-12,Pendlay Row,36.3,5,181.5,,Back
2025-02-12,Deadlift (Barbell),183.7,3,551.1,Deadlift,
2025-02-12,Single-Leg Leg Curl,65,6,390,,Leg Accessory
2025-02-12,Single-Leg Leg Curl,75,5,375,,Leg Accessory
2025-02-12,Leg Press,217.7,8,1741.6,,Leg Accessory
2025-02-12,Leg Press,122.5,8,980,,Leg Accessory
